date,business_name,category,city,email_or_phone,gmail_draft_created,consent_basis,status
2026-05-06,Cindy's Nails,Nail Salon,unknown,(613) 885-2638,no,phone_only,researched
2026-05-12,Happy Nails,Nail Salon,Hamilton,(905) 540-9088,no,phone_only,researched
2026-05-12,FadeMaster Barbershop,Barber Shop,Hamilton,tyshanknightmusic@gmail.com,yes,published_business_email,researched
2026-05-12,Greco's Auto Repair,Auto Repair,Hamilton,(905) 578-7979,no,phone_only,researched
2026-05-12,Mei Nails,Nail Salon,Hamilton,(905) 383-4860,no,phone_only,researched
2026-05-12,Evil Sin Barber Shop,Barber Shop,Hamilton,(647) 501-5489,no,phone_only,researched
2026-06-15,Marcello's Men's Hairstyling,Barber Shop,London,(519) 645-6482,no,phone_only,researched
2026-06-15,Crawford Air Ltd,HVAC,London,lisacrawfordair@rogers.com,yes,published_business_email,researched
2026-06-15,Jadco Contracting Ltd,General Contractor,London,(519) 642-3553,no,phone_only,researched
2026-06-15,Watt's Plumbing,Plumbing,London,wattsplumbing@rogers.com,yes,published_business_email,researched
2026-06-15,Skye High Beauty,Beauty Salon,London,skyehighbeauty101@gmail.com,yes,published_business_email,researched
